Available,Discontinued,Product
0.978,0.022,New Inspiron 22 3275 All-in-One
0.992,0.008,Dell G7 15 Gaming Laptop
0.972,0.028,New Inspiron 15 5570 Laptop
0.994,0.006,Dell G3 15 Gaming Laptop
0.95,0.05,New Inspiron 22 3275 All-in-One
0.956,0.044,XPS 13 Laptop
0.988,0.012,Dell Inspiron 13 5378 2-in-1 
0.982,0.018,"Dell Alienware 15 15.6"" Gaming Laptop "
0.956,0.044,New Inspiron 15 5570 Laptop
0.996,0.004,"Dell Alienware 15 15.6"" Gaming Laptop "
0.768,0.232,Dell G Series G7 7588 15.6-inch FHD Laptop
1,0,Precision 5520 Mobile Workstation
0.962,0.038,Dell G3 15 Gaming Laptop
0.866,0.134,Dell UltraSharp 27 4K HDR Monitor 
0.94,0.06,"Dell Alienware 15 15.6"" Gaming Laptop "
0.958,0.042,Dell G3 15 Gaming Laptop
0.948,0.052,Dell G3 15 Gaming Laptop
0.892,0.108,Dell 24 UltraSharp Monitor
0.892,0.108,Dell Venue 7 3741 Tablet 
0.894,0.106,Dell G Series G7 7588 15.6-inch FHD Laptop
0.85,0.15,Dell Precision M5510 WorkStation Laptop
0.94,0.06,Dell UltraSharp 27 4K HDR Monitor 
0.71,0.29,Latitude Dell 5175 Tablet
0.818,0.182,Dell Vostro 3000 
0.964,0.036,Dell 24 Touch Monitor
0.976,0.024,Alienware 25 Gaming Monitor
0.994,0.006,Inspiron 15 7572 Laptop
0.982,0.018,New Inspiron 22 3275 All-in-One
0.882,0.118,Dell Venue 7 3741 Tablet 
0.942,0.058,Dell 24 Touch Monitor
0.698,0.302,Inspiron 27 7000 All-in-One
0.104,0.896,New Inspiron 22 3275 All-in-One
0.174,0.826,Precision 5520 Mobile Workstation
0.234,0.766,Inspiron 27 7000 All-in-One
0.314,0.686,Dell 24 Touch Monitor
0.106,0.894,Inspiron 15 7572 Laptop
0.592,0.408,Dell 27 Monitor
0.9,0.1,New Inspiron 15 5570 Laptop
0.856,0.144,Dell G3 15 Gaming Laptop
0.764,0.236,XPS 8920 Desktop Tower
0.948,0.052,"Dell Alienware 15 15.6"" Gaming Laptop "
0.99,0.01,Dell G Series G7 7588 15.6-inch FHD Laptop
0.986,0.014,Dell G Series G7 7588 15.6-inch FHD Laptop
0.976,0.024,Dell 24 Touch Monitor
0.978,0.022,Inspiron 15 7572 Laptop
